session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
hm9kirhb,yq21wk53,hm9kirhb_88U,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,h733aoe5,hm9kirhb_11T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,rt0ip7v8,hm9kirhb_97S,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,dr9dka7b,hm9kirhb_24F,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,7mq47bdb,hm9kirhb_99X,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,b2nvu05w,hm9kirhb_45P,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,37poojjn,hm9kirhb_52G,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,u4mfzs6d,hm9kirhb_32W,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,mro0bnj2,hm9kirhb_75S,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,s3g7546r,hm9kirhb_54O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,149s11o4,hm9kirhb_25V,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,tvx0hzbp,hm9kirhb_36F,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,wfvmxqf0,hm9kirhb_18R,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,5zy93j2f,hm9kirhb_05Y,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,mshu8ets,hm9kirhb_10K,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,p4v1waoc,hm9kirhb_73K,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,pdurs35z,hm9kirhb_45O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,yt3fhg7h,hm9kirhb_41O,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
ne4pwggz,mm32g1zk,ne4pwggz_13B,1,3.48,0.0,0.0,0.0,3.48,12.0,15.48
ne4pwggz,bsi2dvxw,ne4pwggz_15D,1,3.44,0.01,0.0,0.0,3.45,12.0,15.45
ne4pwggz,4m0gs3c2,ne4pwggz_73L,1,3.31,0.0,0.0,0.0,3.31,12.0,15.31
ne4pwggz,b12l5844,ne4pwggz_26H,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,e7bappu7,ne4pwggz_97S,1,3.49,0.0,0.0,0.0,3.49,12.0,15.49
ne4pwggz,7caoive0,ne4pwggz_81U,1,3.56,0.0,0.0,0.0,3.56,12.0,15.56
ne4pwggz,qrpu29md,ne4pwggz_88D,1,3.36,0.01,0.0,0.0,3.37,12.0,15.37
ne4pwggz,vrgrpwjm,ne4pwggz_62X,1,3.48,0.0,0.0,0.0,3.48,12.0,15.48
ne4pwggz,k0siraqt,ne4pwggz_96E,1,3.41,0.0,0.0,0.0,3.41,12.0,15.41
ne4pwggz,9xip8tyn,ne4pwggz_88M,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,m9q9229c,ne4pwggz_19B,1,3.48,0.0,0.0,0.0,3.48,12.0,15.48
ne4pwggz,6hy4ceg9,ne4pwggz_82P,1,3.34,0.0,0.0,0.0,3.34,12.0,15.34
ne4pwggz,3uankezj,ne4pwggz_81V,1,3.44,0.01,0.0,0.0,3.45,12.0,15.45
ne4pwggz,jknjjbl6,ne4pwggz_71O,1,3.31,0.0,0.0,0.0,3.31,12.0,15.31
ne4pwggz,kbk5fvkm,ne4pwggz_02I,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,8t0fyntv,ne4pwggz_00Y,1,3.52,0.01,0.0,0.0,3.53,12.0,15.53
ne4pwggz,llzr77rw,ne4pwggz_59B,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,va2ib6go,ne4pwggz_63M,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,di6uj258,ne4pwggz_59H,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
ne4pwggz,ofjb3l8s,ne4pwggz_63J,1,3.57,0.0,0.0,0.0,3.57,12.0,15.57
hrei2bal,aw3sjqtx,hrei2bal_78O,1,3.3,0.0,0.0,0.0,3.3,12.0,15.3
hrei2bal,zyfg1owd,hrei2bal_86R,1,3.52,0.03,0.0,0.0,3.55,12.0,15.55
hrei2bal,cs5svt3k,hrei2bal_87T,1,3.14,0.0,0.0,0.0,3.14,12.0,15.14
hrei2bal,pbj5o6rv,hrei2bal_18U,1,3.24,0.01,0.0,0.0,3.25,12.0,15.25
hrei2bal,5hyz198i,hrei2bal_87U,1,3.39,0.01,0.0,0.0,3.4,12.0,15.4
hrei2bal,2vo7lh4a,hrei2bal_21V,1,3.29,0.01,0.0,0.0,3.3,12.0,15.3
hrei2bal,dots2jdn,hrei2bal_95E,1,3.39,0.0,0.0,0.0,3.39,12.0,15.39
hrei2bal,uy5s2z3w,hrei2bal_99I,1,3.23,0.0,0.0,0.0,3.23,12.0,15.23
hrei2bal,yac7qdrr,hrei2bal_21F,1,3.3,0.0,0.0,0.0,3.3,12.0,15.3
hrei2bal,fgzmyxwz,hrei2bal_52G,1,3.44,0.0,0.0,0.0,3.44,12.0,15.44
hrei2bal,harg922p,hrei2bal_23L,1,3.3,0.0,0.0,0.0,3.3,12.0,15.3
hrei2bal,srgcnutd,hrei2bal_76A,1,3.38,0.0,0.0,0.0,3.38,12.0,15.38
hrei2bal,sf986m35,hrei2bal_55J,1,3.35,0.0,0.0,0.0,3.35,12.0,15.35
hrei2bal,vhtzquja,hrei2bal_45B,1,3.22,0.01,0.0,0.0,3.23,12.0,15.23
hrei2bal,wj5eryzi,hrei2bal_63B,1,2.94,0.01,0.0,0.0,2.95,12.0,14.95
hrei2bal,4ns6zrqe,hrei2bal_29P,1,3.05,0.0,0.0,0.0,3.05,12.0,15.05
hrei2bal,5zotiwts,hrei2bal_78W,1,3.26,0.01,0.0,0.0,3.27,12.0,15.27
hrei2bal,dq8gcz55,hrei2bal_13H,1,3.4,0.0,0.0,0.0,3.4,12.0,15.4
hrei2bal,fqdmfklc,hrei2bal_10B,1,3.3,0.0,0.0,0.0,3.3,12.0,15.3
hrei2bal,0jabbtxb,hrei2bal_28D,1,3.58,0.01,0.0,0.0,3.59,12.0,15.59
lwnwomh2,u62pl884,lwnwomh2_96M,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,pquhgitq,lwnwomh2_96F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,23cz3koi,lwnwomh2_15T,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,l644gpfb,lwnwomh2_24M,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,28vcq7vx,lwnwomh2_82Z,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,xroqu4wa,lwnwomh2_87Y,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,pryk6ogd,lwnwomh2_83U,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,cshmn31m,lwnwomh2_23P,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,ji001pvc,lwnwomh2_37P,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,za5zfmx0,lwnwomh2_85X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,o6dj0bds,lwnwomh2_48Q,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,vqn7d8ql,lwnwomh2_56X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,grv977ja,lwnwomh2_69G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,cm3152j2,lwnwomh2_93F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,77rzway6,lwnwomh2_24F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,xmm5603o,lwnwomh2_09G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,h67naupv,lwnwomh2_11W,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
